French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
demande,request
frère,brother
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
train,train
corps,body
endroit,place
yeux,eyes
trouve,find
main,hand
pouvoir,power
vieux,old
tiens,here
matin,morning
enfant,child
point,point
suite,after
devant,in front of
demandé,request
mis,placed
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
plutôt,rather
aura,will have
jouer,to play
